2026-06-02 01:27:42 | INFO    | backend.main | Jarvis backend starting up (Phase 0a) ...
2026-06-02 01:27:42 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 1
2026-06-02 01:27:42 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 2
2026-06-02 01:27:42 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 4
2026-06-02 01:27:42 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 6
2026-06-02 01:27:42 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 8
2026-06-02 01:27:42 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 12
2026-06-02 01:27:42 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 22
2026-06-02 01:27:42 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 31
2026-06-02 01:27:42 | CRITICAL | backend.main | Environment validation: FAIL — one or more required API keys are missing or still hold .env.example placeholders. Fix with:  cp .env.example .env  # then fill in real keys. Run `python -m utils.env_validator` for a full report.
2026-06-02 01:54:54 | INFO    | backend.main | Jarvis backend starting up (Phase 0a) ...
2026-06-02 01:54:54 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 1
2026-06-02 01:54:54 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 2
2026-06-02 01:54:54 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 4
2026-06-02 01:54:54 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 6
2026-06-02 01:54:54 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 8
2026-06-02 01:54:54 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 12
2026-06-02 01:54:54 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 22
2026-06-02 01:54:54 | WARNING | dotenv.main | Python-dotenv could not parse statement starting at line 31
2026-06-02 01:54:54 | CRITICAL | backend.main | Environment validation: FAIL — one or more required API keys are missing or still hold .env.example placeholders. Fix with:  cp .env.example .env  # then fill in real keys. Run `python -m utils.env_validator` for a full report.
2026-06-02 02:12:48 | INFO    | backend.main | Jarvis backend starting up (Phase 0a) ...
2026-06-02 02:12:48 | CRITICAL | backend.main | Environment validation: FAIL — one or more required API keys are missing or still hold .env.example placeholders. Fix with:  cp .env.example .env  # then fill in real keys. Run `python -m utils.env_validator` for a full report.
